T/s,theta 1 velocity/rad/s, theta 2  velocity/rad/s
0.0757,0.529591777,0.437411374
0.0758,0.544774244,0.420789386
0.0759,0.554704434,0.409947787
0.076,0.558338604,0.406078286
0.0761,0.555319653,0.409588114
0.0762,0.545973702,0.420103945
0.0763,0.531230785,0.436562531
0.0764,0.512504346,0.457348615
0.0765,0.491754353,0.480223027
0.0766,0.471255025,0.5025879
0.0767,0.453256209,0.521873333
0.0768,0.43968653,0.535876565
0.0769,0.431934584,0.543011977
0.077,0.430717978,0.542460726
0.0771,0.436042631,0.534217243
0.0772,0.447219568,0.519069738
0.0773,0.462859913,0.498604869
0.0774,0.480859862,0.475225118
0.0775,0.498807702,0.451685254
0.0776,0.514339953,0.430685384
0.0777,0.525447226,0.414521594
0.0778,0.530681631,0.404848836
0.0779,0.529280999,0.402538906
0.078,0.521225687,0.407615293
0.0781,0.507316735,0.419162648
0.0782,0.490566897,0.433755445
0.0783,0.483254031,0.43748966
0.0784,0.484430308,0.431444133
0.0785,0.493099406,0.416753975
0.0786,0.507736335,0.395161027
0.0787,0.518188568,0.378342849
0.0788,0.52410818,0.366704594
0.0789,0.525860992,0.359829862
0.079,0.523932668,0.357165557
0.0791,0.51890594,0.358047828
0.0792,0.511539971,0.361610237
0.0793,0.502727679,0.366832253
0.0794,0.493404394,0.372643808
0.0795,0.484356255,0.378145472
0.0796,0.476120728,0.3827229
0.0797,0.46901439,0.386014971
0.0798,0.463179868,0.387859898
0.0799,0.458625617,0.388249601
0.08,0.4552608,0.387289724
0.0801,0.452925798,0.385164682
0.0802,0.451418595,0.382107455
0.0803,0.450517118,0.378374008
0.0804,0.4499976,0.374222285
0.0805,0.44964905,0.36989565
0.0806,0.449283988,0.365610604
0.0807,0.448745706,0.36154848
0.0808,0.447912369,0.357850743
0.0809,0.446698376,0.354617438
0.081,0.445053415,0.351908258
0.0811,0.443068767,0.349620091
0.0812,0.440993003,0.347468659
0.0813,0.439158713,0.345072537
